City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
53,Santarem,BR,-2.44,-54.71,89.6,62,20,12.75,few clouds,2020-11-01 14:33:16
54,Sur,OM,22.57,59.53,72.12,47,0,2.46,clear sky,2020-11-01 14:33:16
55,Bambanglipuro,ID,-7.95,110.28,77.95,85,99,2.75,overcast clouds,2020-11-01 14:33:16
56,Nanortalik,GL,60.14,-45.24,31.5,89,86,25.79,overcast clouds,2020-11-01 14:33:16
57,Punta Arenas,CL,-53.15,-70.92,50.0,81,75,6.93,broken clouds,2020-11-01 14:29:03
58,Kaitangata,NZ,-46.28,169.85,48.0,61,94,11.01,overcast clouds,2020-11-01 14:33:16
59,Thinadhoo,MV,0.53,72.93,83.84,73,67,11.88,broken clouds,2020-11-01 14:33:16
60,Nioro,GM,13.35,-15.75,98.71,20,7,5.26,clear sky,2020-11-01 14:33:16
61,Cabo San Lucas,MX,22.89,-109.91,71.6,83,40,8.05,scattered clouds,2020-11-01 14:29:06
62,Hofn,IS,64.25,-15.21,44.6,52,20,17.22,few clouds,2020-11-01 14:33:16
63,Yellowknife,CA,62.46,-114.35,16.0,92,90,8.05,light snow,2020-11-01 14:30:05
64,Sabzevar,IR,36.21,57.68,68.0,35,0,9.17,clear sky,2020-11-01 14:33:16
65,Amapa,BR,1.0,-52.0,97.7,30,12,5.61,few clouds,2020-11-01 14:31:46
66,Oistins,BB,13.07,-59.53,86.0,79,40,20.8,scattered clouds,2020-11-01 14:31:55
67,Bossangoa,CF,6.49,17.46,87.04,62,33,3.18,scattered clouds,2020-11-01 14:33:16
68,Butembo,CD,0.15,29.28,66.58,88,68,2.26,light rain,2020-11-01 14:32:22
69,Vila Franca Do Campo,PT,37.72,-25.43,69.8,94,75,16.11,broken clouds,2020-11-01 14:30:42
70,Adrar,MR,20.5,-10.07,89.65,12,98,12.66,overcast clouds,2020-11-01 14:33:17
71,Shitanjing,CN,39.23,106.34,37.09,65,0,9.53,clear sky,2020-11-01 14:33:17
72,Los Llanos De Aridane,ES,28.66,-17.92,86.0,30,0,6.93,clear sky,2020-11-01 14:33:17
73,Bethel,US,41.37,-73.41,48.99,70,90,5.82,overcast clouds,2020-11-01 14:33:17
74,Kenai,US,60.55,-151.26,24.01,78,1,3.36,clear sky,2020-11-01 14:33:17
