City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
524,Kaabong,UG,76.98,broken clouds,3.48,34.15,Rock Motel Ltd
527,Sanghar,PK,84.2,haze,26.05,68.95,M. Shoaib Education Department
540,Adana,TR,80.6,scattered clouds,36.98,35.29,Hotel Adana
543,Kavaratti,IN,82.65,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
544,Ardakan,IR,78.8,clear sky,32.31,54.02,Ardakan Hotel
545,Gat,IL,78.01,scattered clouds,31.61,34.76,OlusHome
552,Lucea,JM,84.0,broken clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
554,Ziro,IN,77.0,mist,27.63,93.83,Ka-ngam homestay
556,Jalu,LY,75.81,clear sky,29.03,21.55,Jalu Hotel
560,Jensen Beach,US,82.99,scattered clouds,27.25,-80.23,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
573,Cabadiangan,PH,77.11,overcast clouds,9.75,122.47,Kipot
574,Jiwani,PK,77.07,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
575,Yulara,AU,84.2,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
579,Ambulu,ID,76.78,scattered clouds,-8.35,113.61,Hotel Ambulu Jember
581,Mahina,PF,75.2,few clouds,-17.51,-149.49,Guest Beach Bungalow Tahiti
588,Manggar,ID,80.02,overcast clouds,-2.88,108.27,Guest Hotel
598,Lambare,PY,82.4,clear sky,-25.35,-57.61,Hidden Garden Bed & Breakfast
603,Sibolga,ID,77.43,moderate rain,1.74,98.78,Hotel Syariah CN Darussalam
604,Kiunga,PG,75.33,light rain,-6.12,141.29,Airport Lodge Kiunga
610,Springbok,ZA,83.41,clear sky,-29.66,17.89,Undulata Country Lodge
611,Manado,ID,75.2,few clouds,1.49,124.85,Aryaduta Hotel
615,Sao Jose Da Coroa Grande,BR,83.25,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
616,Trinidad,BO,82.4,few clouds,-14.83,-64.9,Hotel Piesta
619,Marsh Harbour,BS,81.28,clear sky,26.54,-77.06,Abaco Beach Resort
624,Port Blair,IN,81.25,moderate rain,11.67,92.75,Fortune Resort Bay Island
625,Odweyne,SO,76.95,few clouds,9.41,45.06,Eng Hiirey House
626,Gizo,SB,83.01,moderate rain,-8.1,156.84,Imagination Island
627,Galle,LK,80.24,scattered clouds,6.04,80.22,Amangalla
628,Lata,PT,75.99,broken clouds,40.16,-8.33,Casa Maquia
634,Santo Domingo,DO,84.2,scattered clouds,18.5,-69.99,Micro Hotel Condo Suites
640,Ternate,ID,81.66,light rain,0.8,127.4,Grand Dafam Bela Ternate
642,Sainte-Anne,GP,82.4,overcast clouds,16.23,-61.37,HOTEL LE ROTABAS
647,Alim,PH,78.93,light rain,9.56,122.49,Calamai Tropica
650,Chateaubelair,VC,78.8,shower rain,13.28,-61.25,Richmond Vale Diving & Hiking Center
652,Isangel,VU,75.4,few clouds,-19.55,169.27,Volcano Sea View Tree House
659,Omboue,GA,75.36,light rain,-1.57,9.26,Hotel Olako
663,Trat,TH,77.5,overcast clouds,12.5,102.5,สวนหนิง-อัศ
669,Baculin,PH,79.74,light rain,7.45,126.58,Shovy's Cove
671,Tabou,CI,81.86,light rain,4.42,-7.35,hotêl doufoulougou
675,Pagudpud,PH,79.27,overcast clouds,18.56,120.79,Saud Beach Resort and Hotel - 2
677,Mount Isa,AU,78.8,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
678,Puerto Escondido,MX,83.46,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
685,Fez,MA,82.4,clear sky,34.04,-5.0,Hotel Mounia Fès
689,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
690,Gigmoto,PH,78.94,overcast clouds,13.78,124.39,Cj's Travellers Inn
702,Ambilobe,MG,77.45,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
